RBI VBW  | naman matatakot | true true
PRP VBAF  | silang magkuwenta | true true
VBW ang  | matatakot ang | true false
ang PRI  | ang sinuman | false true
PRI CCT  | sinuman sa | true true
sa PRI  | sa isang | false true
Sa NNP  | Sa Lupa | false true
PRI NNC  | isang sombrero | true true
VBAF PRP  | Sumagot sila | true true
Kung PRC  | Kung gayo'y | false true
PMS QOT  | : QOT | true false
RBF NNC  | Hindi sombrero | true true
NNC ang  | sombrero ang | true false
ang PRSP  | ang aking | false true
PRSP NNC  | aking drowing | true true
VBS PRP  | Kailangan nilang | true true
RBW ng  | lagi ng | true false
mga NNC  | mga paliwanag | false true
JJD kung  | nakaaalam kung | true false
PRC RBI  | Ganito naman | true true
RBI ang  | naman ang | true false
PRP VBW  | sila matatagpuan | true true
ang CDB  | ang pangalawa | false true
PRP NNC  | silang ugat | true true
CDB PRS  | pangalawa kong | true true
JJCS PRP  | labis silang | true true
PRS NNC  | kong drowing | true true
CCT JJN  | sa isang | true true
NNC :  | drowing : | true false
RBF JJD  | Hinding-hindi nakakaintindi | true true
JJD CCT  | nakakaintindi sa | true true
CCT JJD  | sa ganang | true true
JJD NNC  | ganang sarili | true true
NNC PRP  | sarili nila | true true
PRP ang  | nila ang | true false
JJCS NNC  | Napakalaking tulong | true true
NNC PRO  | tulong nito | true true
, VBAF  | , maglaro | false true
VBW sa  | mawawala sa | true false
CCT RBW  | Ngunit pagkatapos | true true
JJD PRS  | Nakilala ko | true true
PRS PRP  | ko sila | true true
PRP CCB  | sila nang | true true
CCB VBW  | nang malapitan | true true
VBS PRS  | Gusto kong | true true
Dito RBI  | Dito lang | false true
PRS VBW  | kong malaman | true true
CCR JJD  | kung magaling | true true
Magiging JJD  | Magiging bukod-tangi | false true
JJD RBI  | magaling nga | true true
RBI PRS  | nga siyang | true true
PRS VBAF  | siyang umintindi | true true
VBTF PRS  | Ilalagay ko | true true
PRS ang  | ko ang | true false
NNC PRS  | lugar niya | true true
RBI VBTS  | Kaya nabuhay | true true
PRO ,  | iyan , | true false
VBTS PRS  | nabuhay akong | true true
kung RBQ  | kung anong | false true
VBTS sa  | nasira sa | true false
ng PRSP  | ng aking | false true
VBTR :  | iniisip : | true false
PRO CCT  | ito para | true true
CCT CCT  | para sa | true true
sa PRSP  | sa akin | false true
VBOF PRS  | Idrowing mo | true true
PRC NNC  | gaanong panahon | true true
PRS PRS  | mo ako | true true
PRS CCB  | ako ng | true true
CCB PRI  | ng isang | true true
RBD PRS  | Bigla akong | true true
PRS RBD  | akong bumangon | true true
na CCT  | na parang | false true
CCT VBOF  | parang tinamaan | true true
VBOF ng  | tinamaan ng | true false
Mas VBW  | Mas makabubuting | false true
ang JJCS  | ang pinakamagandang | false true
sila RBK  | sila pag | false true
PRS na  | niya na | true false
na VBTS  | na naidrowing | false true
PRS RBW  | ko pagkatapos | true true
CCT RBF  | Ngunit hindi | true true
sa NNC  | sa kulay | false true
RBF PRS  | hindi ko | true true
PRS PRO  | ko ito | true true
PRO NNC  | ito kasalanan | true true
RBW ang  | muli ang | true false
kayo CCT  | kayo sa | false true
, PRQ  | , Ano | false true
PRQ ang  | Ano ang | true false
At JJD  | At hiyang-hiya | false true
ang VBTR  | ang ginagawa | false true
VBTR PRS  | ginagawa mo | true true
walang NNC  | walang saysay | false true
PRS PRL  | mo dito | true true
VBAF RBI  | Sumagot naman | true true
At VBAF  | At bumalik | false true
PRS CCT  | siya sa | true true
NNC VBTS  | panahong inaksaya | true true
PRSP :  | akin : | true false
PRS RBI  | mo lang | true true
RBI JJD  | lang basta | true true
PRO ang  | Iyon ang | true false
PRSP kinaroroonan  | kanilang kinaroroonan | true false
NNC na  | sawa na | true false
na RBF  | na di | false true
JJD ang  | kita ang | true false
NNC at  | sawa at | true false
at JJCS  | at napakalaki | false true
ng VBTR  | ng nagtitinda | false true
JJCS RBI  | napakalaki naman | true true
JJCS ng  | Napakaliit ng | true false
PRO JJD  | itong mabuti | true true
JJD at  | mabuti at | true false
