RBS PRS RBI  | Pasensya ka na | true true true
QOT ang RBD  | QOT ang malambing | false false true
ang RBD na  | ang malambing na | false true false
RBD ng NNC  | sagot ng bulaklak | true false true
JJD ng NNC  | kasabay ng araw | true false true
QOT VBTS pa  | QOT idinagdag pa | false true false
RBI VBW PRS  | naman sana ako | true true true
VBW PRS ,  | sana ako , | true true false
Walang NNC sa  | Walang tigre sa | false true false
NNC sa PRSP  | tigre sa aking | true false true
NNC ang mga  | damo ang mga | true false false
RBF PRS RBI  | Wala ka bang | true true true
JJCS RBI ng  | Napakakumplikado naman ng | true true false
VBTF mo PRS  | Tatakluban mo ako | true false true
PRS ng NNC  | ako ng garapon | true false true
ng NNC CCT  | ng garapon sa | false true true
JJD pa RBI  | Butil pa lamang | true false true
RBI PRS RBW  | lamang siya nang | true true true
RBI RBF PRS  | Kaya wala siyang | true true true
sa JJD NNC  | sa ibang daigdig | false true true
Hindi PRS VBS  | Hindi ako dapat | false true true
JJD sa PRSP  | nakinig sa kanya | true false true
VBOF ang mga  | pakinggan ang mga | true false false
QOT VBTS PRS  | QOT ipinagtapat niya | false true true
NNC , QOT  | araw , QOT | true false false
RBF PRS JJD  | Hindi ako marunong | true true true
PRS JJD VBAF  | ako marunong umunawa | true true true
VBTS PRS ang  | Pinabango n'ya ang | true true false
NNC RBI siya  | bulkan din siya | true true false
Kaya VBTR PRP  | Kaya pinahihirapan tayo | false true true
VBTR PRP ng  | pinahihirapan tayo ng | true true false
na PRS VBTF  | na siya babalik | false true true
QOT ang VBW  | QOT ang sabi | false false true
ang VBW PRS  | ang sabi niya | false true true
VBAF ang NNC  | Umubo ang bulaklak | true false true
may NNC PRS  | may sipon siya | false true true
PRS VBW ang  | niya maintindihan ang | true true false
VBW ang JJD  | maintindihan ang matamis | true false true
QOT VBW ng  | QOT sabi ng | false true false
VBW ng NNC  | sabi ng bulaklak | true false true
PRS RBI hindi  | ko kaya hindi | true true false
JJCS RBI PRP  | Napakaganda raw nila | true true true
RBI ang VBTF  | pa ang dadalaw | true false true
JJD NNC ,  | malalaking hayop , | true true false
, RBF PRS  | , hindi ako | false true true
RBI PRS :  | pa niya : | true true false
