VBTR RBI sila ng mga NNC  | kumakain din sila ng mga baobab | true true false false false true
RBI RBI JJD ang munting prinsipe  | pa rin kumbinsido ang munting prinsipe | true true true false false false
ang ibig sabihin n'yon PMS QOT  | ang ibig sabihin n'yon : QOT | false false false false true false
QOT sabi ng munting prinsipe CCT  | QOT sabi ng munting prinsipe sa | false false false false false true
sabi ng munting prinsipe sa PRSP  | sabi ng munting prinsipe sa kanya | false false false false false true
CDB at CDB ay dalawampu't CDB  | Labinlima at pito ay dalawampu't dalawa | true false true false false true
QOT VBW ng tagapaglihis ng riles  | QOT sagot ng tagapaglihis ng riles | false true false false false false
VBW ng tagapaglihis ng riles ng  | sagot ng tagapaglihis ng riles ng | true false false false false false
QOT sinabi niya sa NNC ,  | QOT sinabi niya sa wakas , | false false false false true false
sinabi niya sa NNC , QOT  | sinabi niya sa wakas , QOT | false false false true false false
Ngunit sinabi PRS sa PRSP :  | Ngunit sinabi niya sa akin : | false false true false true false
RBD na RBD ng munting prinsipe  | matatag na sagot ng munting prinsipe | true false true false false false
QOT sabi ng NNC , QOT  | QOT sabi ng hari , QOT | false false false true false false
Pagkatapos ay ang mga nasa NNP  | Pagkatapos ay ang mga nasa Afrika | false false false false false true
At mga NNC at mga NNC  | At mga siyudad at mga ilog | false false true false false true
QOT ang RBD na sagot ng  | QOT ang malambing na sagot ng | false false true false false false
QOT VBW sa kanya ng NNC  | QOT sabi sa kanya ng hari | false true false false false true
VBAF ang munting prinsipe na VBTR  | sumagot ang munting prinsipe na nalilito | true false false false false true
ng NNC na JJD ang ulo  | ng lasenggo na nakalungayngay ang ulo | false true false true false false
QOT VBAF ang munting prinsipe ,  | QOT sumabad ang munting prinsipe , | false true false false false false
QOT VBW sa kanya ng JJD  | QOT sagot sa kanya ng hambog | false true false false false true
VBAF ang munting prinsipe , QOT  | sumabad ang munting prinsipe , QOT | true false false false false false
